complex_id,complex_nm,trains,station_ct,bcode,stop_lat,stop_lon,tot2007,tot2008,tot2009,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,avwkdy07,avwkdy08,avwkdy09,avwkdy10,avwkdy11,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwken07,avwken08,avwken09,avwken10,avwken11,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17,srv_notes,geometry
bx001,138 St-Grand Concourse,4 5,1,36005,40.813224,-73.929849,800595.0,864369.0,887662.0,898509.0,917911.0,939284.0,957984.0,1033559.0,1056380.0,1070024.0,1036746,2720.0,2926.0,2969.0,3013.0,3076.0,3183.0,3222.0,3416.0,3480.0,3532.0,3486,2001.0,2155.0,2429.0,2450.0,2526.0,2648.0,2540.0,3017.0,3136.0,3123.0,2793,,POINT (-73.92984899999999 40.81322399999988)
bx002,149 St-Grand Concourse,2 4 5,2,36005,40.818375,-73.927351,3112547.0,3454530.0,3660150.0,3979328.0,4169699.0,4104847.0,4427399.0,4536888.0,4424754.0,4381900.0,4255015,10384.0,11395.0,12056.0,12744.0,13422.0,13599.0,14380.0,14576.0,14465.0,14460.0,14063,8690.0,10039.0,10926.0,13577.0,14022.0,13024.0,14202.0,15326.0,13683.0,12797.0,12623,,POINT (-73.92735099999999 40.81837499999988)
bx003,161 St-Yankee Stadium,B D 4,2,36005,40.827905,-73.925651,7836990.0,8576546.0,8410256.0,8434247.0,8605893.0,8831015.0,8766012.0,8961029.0,8922188.0,8784407.0,8596506,24258.0,26511.0,26061.0,26159.0,26631.0,27604.0,26972.0,27541.0,27020.0,26947.0,26674,30300.0,33035.0,31919.0,32363.0,34258.0,35820.0,35071.0,36176.0,36969.0,35171.0,33398,,POINT (-73.92565099999999 40.82790499999987)
bx004,167 St,4,1,36005,40.835537,-73.9214,2715327.0,2876058.0,2892398.0,2931947.0,2978748.0,3039634.0,3081534.0,3067345.0,3180274.0,3179087.0,2954228,8564.0,9125.0,9054.0,9220.0,9351.0,9699.0,9904.0,9793.0,9923.0,9972.0,9466,9789.0,9903.0,10694.0,10696.0,11089.0,11188.0,10176.0,10417.0,11942.0,11579.0,9981,,POINT (-73.92139999999999 40.83553699999989)
bx005,167 St,B D,1,36005,40.833771,-73.91844,2834640.0,2920517.0,2874428.0,2907900.0,2952368.0,2972535.0,3091289.0,3245977.0,3295032.0,3365748.0,3293451,8747.0,8913.0,8848.0,8839.0,9054.0,9264.0,9374.0,9906.0,10166.0,10439.0,10223,11114.0,11722.0,11305.0,11997.0,11956.0,11924.0,12887.0,13220.0,12890.0,12775.0,12682,,POINT (-73.91843999999999 40.83377099999988)
bx006,170 St,4,1,36005,40.840075,-73.917791,2523549.0,2735272.0,2831174.0,2950997.0,2954573.0,2980786.0,2961575.0,2941958.0,3045205.0,3038777.0,2785331,7958.0,8661.0,8848.0,9234.0,9259.0,9518.0,9525.0,9403.0,9507.0,9514.0,8910,9102.0,9508.0,10550.0,10987.0,11081.0,10952.0,9768.0,9960.0,11398.0,11161.0,9482,,POINT (-73.91779099999999 40.84007499999989)
bx007,170 St,B D,1,36005,40.839306,-73.9134,2019834.0,2092449.0,2014364.0,1940700.0,1988409.0,2032837.0,2174082.0,2297459.0,2286670.0,2317558.0,2270027,6273.0,6421.0,6255.0,6054.0,6155.0,6303.0,6563.0,6988.0,7101.0,7225.0,7089,7739.0,8256.0,7671.0,7263.0,7788.0,8324.0,9216.0,9490.0,8737.0,8633.0,8558,,POINT (-73.91339999999998 40.83930599999988)
bx008,174 St,2 5,1,36005,40.837288,-73.887734,2047981.0,2159617.0,2127174.0,2239254.0,2161875.0,2152009.0,2301756.0,2374812.0,2313651.0,2411413.0,2334317,6514.0,6876.0,6801.0,7227.0,7049.0,7018.0,7339.0,7599.0,7619.0,7690.0,7466,7138.0,7341.0,7187.0,7353.0,6817.0,7210.0,7907.0,8003.0,6797.0,8183.0,7974,,POINT (-73.88773399999998 40.83728799999988)
bx009,174-175 Sts,B D,1,36005,40.8459,-73.910136,1490168.0,1557954.0,1475159.0,1451367.0,1492092.0,1496869.0,1598189.0,1719504.0,1695879.0,1752387.0,1735321,4669.0,4822.0,4603.0,4537.0,4660.0,4706.0,4885.0,5301.0,5312.0,5519.0,5475,5516.0,5944.0,5508.0,5403.0,5651.0,5833.0,6499.0,6777.0,6271.0,6280.0,6298,,POINT (-73.91013599999998 40.84589999999989)
bx010,176 St,4,1,36005,40.84848,-73.911794,1454231.0,1604117.0,1378480.0,1445219.0,1720629.0,1764100.0,1837995.0,1848854.0,1969221.0,2036529.0,1943854,4606.0,5105.0,4312.0,4517.0,5383.0,5623.0,5905.0,5914.0,6160.0,6378.0,6232,5136.0,5441.0,5106.0,5379.0,6484.0,6508.0,6067.0,6217.0,7318.0,7459.0,6549,,POINT (-73.91179399999999 40.84847999999988)
